<Mahmoud_Ahmadinejad>,<wikicat_Mayors>
<Mahmoud_Ahmadinejad>,<wikicat_Mayors_of_Tehran>
<Mahmoud_Ahmadinejad>,<wikicat_People_from_Semnan_Province>
<Mahmoud_Ahmadinejad>,<wikicat_People_from_Tehran>
<Mahmoud_Ahmadinejad>,<wikicat_Presidents_of_Iran>
<Mahmoud_Ahmadinejad>,<wikicat_Shia_politicians>
<Mahmoud_Ahmadinejad>,<wordnet_officeholder_110371450>
<Mina_Ahadi>,<wikicat_Austrian_people>
<Mina_Ahadi>,<wikicat_Austrian_politicians>
<Mina_Ahadi>,<wikicat_Human_rights_activists>
<Mina_Ahadi>,<wikicat_Iranian_agnostics>
<Mina_Ahadi>,<wikicat_Iranian_anti–death_penalty_activists>
<Mina_Ahadi>,<wikicat_Iranian_expatriates_in_Germany>
<Mina_Ahadi>,<wikicat_Iranian_people>
<Mina_Ahadi>,<wikicat_Iranian_politicians>
<Mina_Ahadi>,<wikicat_Iranian_women>
<Mina_Ahadi>,<wikicat_Iranian_women_in_politics>
<Mina_Ahadi>,<wikicat_Living_people>
<Mina_Ahadi>,<wikicat_People_from_Abhar>
<Mina_Ahadi>,<wikicat_People_from_Zanjan_Province>
<Mina_Ahadi>,<wikicat_Women>
<Mina_Ahadi>,<wordnet_politician_110450303>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_19th-century_Iranian_people>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_20th-century_Iranian_people>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_Iranian_people>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_Iranian_politicians_who_committed_suicide>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_People_of_the_Persian_Constitutional_Revolution>
<Mohammad_Vali_Khan_Tonekaboni>,<wikicat_Prime_Ministers_of_Iran>
<Mohammad_Vali_Khan_Tonekaboni>,<wordnet_officeholder_110371450>
<Mohammad_Vali_Khan_Tonekaboni>,<wordnet_president_110467179>
<Shapour_Bakhtiar>,<wikicat_Assassinated_Iranian_politicians>
<Shapour_Bakhtiar>,<wikicat_Assassinated_politicians>
<Shapour_Bakhtiar>,<wikicat_Bakhtiari_people>
<Shapour_Bakhtiar>,<wikicat_Government_ministers_of_Iran>
<Shapour_Bakhtiar>,<wikicat_Iranian_activists>
<Shapour_Bakhtiar>,<wikicat_Iranian_democracy_activists>
<Shapour_Bakhtiar>,<wikicat_Iranian_exiles>
<Shapour_Bakhtiar>,<wikicat_Iranian_expatriates_in_France>
<Shapour_Bakhtiar>,<wikicat_Iranian_people>
<Shapour_Bakhtiar>,<wikicat_Iranian_politicians>
<Shapour_Bakhtiar>,<wikicat_Lur_people>
<Shapour_Bakhtiar>,<wikicat_National_Front_(Iran)_politicians>
<Shapour_Bakhtiar>,<wikicat_People_murdered_in_France>
<Shapour_Bakhtiar>,<wikicat_People_of_the_Iranian_Revolution>
<Shapour_Bakhtiar>,<wikicat_Prime_Ministers_of_Iran>
<Shapour_Bakhtiar>,<wikicat_Soldiers_of_the_French_Foreign_Legion>
<Shapour_Bakhtiar>,<wordnet_minister_110320863>
<Parvaneh_Eskandari_Forouhar>,<wikicat_Iranian_activists>
<Parvaneh_Eskandari_Forouhar>,<wikicat_Iranian_murder_victims>
<Parvaneh_Eskandari_Forouhar>,<wikicat_Iranian_women's_rights_activists>
<Parvaneh_Eskandari_Forouhar>,<wikicat_Iranian_women>
<Parvaneh_Eskandari_Forouhar>,<wikicat_Iranian_women_activists>
<Parvaneh_Eskandari_Forouhar>,<wikicat_National_Front_(Iran)_politicians>
<Parvaneh_Eskandari_Forouhar>,<wikicat_People_murdered_in_Iran>
<Parvaneh_Eskandari_Forouhar>,<wordnet_person_100007846>
<Abbas_Ali_Khalatbari>,<wikicat_Ambassadors_of_Iran>
<Abbas_Ali_Khalatbari>,<wikicat_Ambassadors_of_Iran_to_Poland>
<Abbas_Ali_Khalatbari>,<wikicat_Executed_politicians>
<Abbas_Ali_Khalatbari>,<wikicat_Foreign_ministers_of_Iran>
<Abbas_Ali_Khalatbari>,<wikicat_Iranian_diplomats>
