<Mina_Ahadi>,<Abhar>
<Ali_Rabiei>,<Tehran>
<Amir-Abbas_Hoveyda>,<Tehran>
<Amir_Abdollah_Tahmasebi>,<Tehran>
<Amir_Mohebbian>,<Tehran>
<Ardeshir_Zahedi>,<Tehran>
<Bahram_Mavaddat>,<Tehran>
<Behzad_Nabavi>,<Tehran>
<Dariush_Homayoon>,<Tehran>
<Davoud_Danesh-Jafari>,<Tehran>
<Ezzatollah_Sahabi>,<Tehran>
<fa/سیروس_آموزگار>,<Tehran>
<fa/محمد_اسلامی>,<Tehran>
<fa/محمد_شریعتمداری>,<Tehran>
<Faezeh_Hashemi>,<Tehran>
<Farah_Pahlavi>,<Tehran>
<Firouz_Mirza_Nosrat-ed-Dowleh_Farman_Farmaian_III>,<Tehran>
<Firouz_Nosrat-ed-Dowleh_III>,<Tehran>
<Gholam-Ali_Haddad-Adel>,<Tehran>
<Gholamhossein_Karbaschi>,<Tehran>
<Gholam_Hossein_Sadighi>,<Tehran>
<Habibollah_Asgaroladi>,<Tehran>
<Haj_Ali_Razmara>,<Tehran>
<Hasan_Arsanjani>,<Tehran>
<Hashem_Sabbaghian>,<Tehran>
<Hassan_Ali_Mansur>,<Tehran>
<Hassan_Habibi>,<Tehran>
<Hassan_Nayebagha>,<Tehran>
<Hassan_Pakravan>,<Tehran>
<Hossein_Ala'>,<Tehran>
<Iraj_Eskandari>,<Tehran>
<Jafar_Sharif-Emami>,<Tehran>
<Jamshid_Amouzegar>,<Tehran>
<Kamal_Kharazi>,<Tehran>
<Kamran_Bagheri_Lankarani>,<Tehran>
<Manouchehr_Ganji>,<Tehran>
<Maryam_Rajavi>,<Tehran>
<Marzieh_Vahid-Dastjerdi>,<Tehran>
<Masoud_Mir_Kazemi>,<Tehran>
<Masoumeh_Ebtekar>,<Tehran>
<Mehdi_Bazargan>,<Tehran>
<Mehdi_Qoli_Hedayat>,<Tehran>
<Mirza_Ali_Asghar_Khan_Amin_al-Soltan>,<Tehran>
<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>,<Tehran>
<Mohammad-Ali_Najafi>,<Tehran>
<Mohammad-Reza_Mahdavi_Kani>,<Tehran>
<Mohammad_Ali_Foroughi>,<Tehran>
<Mohammad_Javad_Zarif>,<Tehran>
<Mohammad_Mosaddegh>,<Tehran>
<Mohammad_Nahavandian>,<Tehran>
