<fa/فرامرز_اسدی>,,"فرامرز اسدي"@fas
<fa/فیض‌الله_عرب‌سرخی>,,"فیض الله عرب سرخی"@fas
<fa/لیلی_امیرارجمند>,,"لیلی امیرارجمند"@fas
<fa/محمد_اسلامی>,,"محمد اسلامی"@fas
<fa/محمد_تقی_خان_بختیاری>,,"محمد تقي خان بختياري"@fas
<fa/محمد_شریعتمداری>,,"محمد شریعتمداری"@fas
<fa/محمد_فرهادی>,,"محمد فرهادي"@fas
<fa/محمد_میرزا_کاشف‌السلطنه>,,"محمد میرزا کاشف السلطنه"@fas
<fa/محمدجواد_فریدزاده>,,"محمدجواد فريدزاده"@fas
<fa/محمدرضا_مخبر>,,"محمدرضا مخبر"@fas
<fa/محمدکاظم_سجادپور>,,"سید محمدکاظم سجادپور"@fas
<fa/منصور_روحانی>,,"منصور روحانی"@fas
<fa/مهدی_کلهر>,,"مهدي كلهر"@fas
<fa/مهرداد_پهلبد>,,"مهرداد پهلبد"@fas
<fa/میرزا_حسین_اصفهانی>,,"میرزا شاه حسین اصفهانی"@fas
<fa/میرزا_محمدعلی_سیوندی>,,"میرزا محمدعلی سیوندی"@fas
<fa/یوسف_خان_امیر_مجاهد>,,"امير مجاهد"@fas
<Faezeh_Hashemi>,<female>,"فائزهٔ هاشمي رفسنجاني"@fas
<Farahnaz_Pahlavi>,,
<Farah_Pahlavi>,<female>,"شهبانو فرح پهلوی"@fas
<Farhang_Mehr>,<male>,
<Farideh_Mostafavi>,,
<Farrokhroo_Parsa>,<female>,"فَرُّخ‌رو پارسا"@fas
<Fatemeh_Karroubi>,<female>,"فاطمهٔ کروبی"@fas
<Fathollah_Khan_Akbar>,<male>,"فتح الله خان سپهدار رشتی"@fas
<Fawzia_Fuad_of_Egypt>,,"پرنسس فوزيه"@fas
<Fazlollah_Zahedi>,<male>,"فضل الله خان بصير ديوان"@fas
<Fereidon_Hasanvand>,<male>,
<Fereydoon_Hoveyda>,<male>,"فريدون هويدا"@fas
<Fereydoun_Djam>,<male>,
<Feridoun_Jam>,,"فريدون جم"@fas
<Firouz_Mirza_Nosrat-ed-Dowleh_Farman_Farmaian_III>,,"فیروز نصرت الدوله"@fas
<Firouz_Nosrat-ed-Dowleh_III>,<male>,
<fr/Abdol-Hossein_Hamzavi>,,
<fr/Abdol-Rahman_Faramarzi>,,
<fr/Abdollah_Behbahani>,,
<fr/Fariba_Hachtroudi>,,
<fr/Farrokh-Rou_Parsa>,,
<fr/Mehdi_Gholi_Hedayat>,,
<fr/Mirza_Riza_Khan>,,"رضا ارفع‌الدوله"@fas
<fr/Nina_Dyer>,,
<fr/Reza_Sardar_Fakher_Hekmat>,,
<fr/Taher_Movassaghian>,,
<fr/Yishmael_Movassaghian>,,
